cosine similarity ranks
Measure   Pair(s)
1.000000: [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9)]
0.816281: [(6, 8)]
0.773768: [(1, 8)]
0.765007: [(1, 6)]
0.762907: [(7, 8)]
0.762754: [(4, 8)]
0.758129: [(3, 6)]
0.739972: [(3, 8)]
0.730329: [(4, 6)]
0.725333: [(6, 9)]
0.721104: [(4, 7)]
0.715564: [(6, 7)]
0.714986: [(8, 9)]
0.712823: [(1, 2)]
0.710392: [(4, 9)]
0.703700: [(3, 9)]
0.698605: [(2, 8)]
0.690890: [(1, 7)]
0.686163: [(3, 4)]
0.685609: [(1, 4)]
0.684607: [(7, 9)]
0.679542: [(1, 9)]
0.675311: [(3, 7)]
0.674997: [(5, 8)]
0.674995: [(2, 6)]
0.665150: [(1, 3)]
0.660934: [(0, 8)]
0.650905: [(0, 6)]
0.648217: [(5, 6)]
0.645890: [(0, 2)]
0.642194: [(0, 1)]
0.620416: [(0, 7)]
0.617755: [(5, 9)]
0.610052: [(1, 5)]
0.607814: [(4, 5)]
0.607706: [(3, 5)]
0.596642: [(5, 7)]
0.596615: [(0, 4)]
0.586874: [(0, 3)]
0.585870: [(0, 9)]
0.584881: [(2, 7)]
0.568738: [(2, 3)]
0.564267: [(0, 5)]
0.561424: [(2, 4)]
0.559688: [(2, 9)]
0.557268: [(2, 5)]
