jaccard similarity ranks
Measure   Pair(s)
1.000000: [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9)]
0.184814: [(2, 8)]
0.181102: [(1, 2)]
0.153729: [(7, 8)]
0.143989: [(0, 2)]
0.138648: [(1, 6)]
0.137825: [(1, 8)]
0.134763: [(2, 6)]
0.132716: [(6, 8)]
0.129985: [(2, 7)]
0.129436: [(4, 7)]
0.126338: [(1, 4)]
0.126280: [(4, 9)]
0.125850: [(3, 4)]
0.125180: [(0, 1)]
0.124346: [(0, 8)]
0.118136: [(6, 7)]
0.116393: [(1, 7)]
0.114224: [(4, 6)]
0.112546: [(4, 8)]
0.112230: [(0, 6)]
0.109589: [(3, 7)]
0.109091: [(2, 4)]
0.108621: [(2, 5)]
0.103878: [(0, 7)]
0.102273: [(7, 9)]
0.100000: [(3, 9)]
0.099315: [(0, 4)]
0.097619: [(6, 9)]
0.096000: [(3, 8)]
0.092199: [(3, 6)]
0.090278: [(1, 3)]
0.087179: [(5, 8)]
0.083333: [(1, 5)]
0.083179: [(0, 9)]
0.082949: [(1, 9)]
0.081871: [(2, 3)]
0.080979: [(5, 7)]
0.079922: [(2, 9)]
0.078431: [(5, 6)]
0.074656: [(8, 9)]
0.073132: [(0, 5)]
0.071611: [(4, 5)]
0.070588: [(3, 5)]
0.069217: [(0, 3)]
0.067647: [(5, 9)]
